"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","0","15","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","0","15","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","0","51","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","34","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","34","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","0","26","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","24","1","0.000000","0","0"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","0","4","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","0","8","2","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","24","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","0","24","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","24","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","48","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","24","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","208","2","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/Flares/TracerFlare2.TracerFlare2","0","0","32","1","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/Flares/TracerFlare.TracerFlare","0","0","32","1","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/Liquids/M_MeshEmitWater_MASTER.M_MeshEmitWater_MASTER","0","0","123","1","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/Liquids/M_Water_Test_01.M_Water_Test_01","0","0","63","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","0","140","1","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/Liquids/SplashDisc.SplashDisc","0","0","63","1","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/Fragments/DebrisMaster.DebrisMaster","0","0","174","2","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/SmokeDust/whispOne_Master_directional_NOSPHERICALNORMAL.whispOne_Master_directional_NOSPHERICALNORMAL","0","0","174","2","0.000000","0","0"
"/Game/BallisticsVFX/Particles/FXMaterials/SmokeDust/Squib_one.Squib_one","0","0","87","1","0.000000","0","0"
